文本序号	文本内容
19	作为一款中级轿车，空间绝对是够得，家里人都是中等体型，第一排、第二排空间都很宽松，头部空间和腿部空间都比较大，平常一家人出门，两个老人和孩子，三个人坐后排一点都不挤，毕竟是5座的车，本来以为加了电池，乘坐的空间会变小，没想到一点都没影响到，后备箱很大，开口也很大，往里很深，平常的存放使用一点问题都没有。以后出去玩，都没有问题了，可以带的更齐全点了。
20	日系车的空间还是都比较会设计的，这个空间内部整体构造相比同级别来说还是挺大的，特别是地台的隆起不是很高，正常化要乘坐三个人的话，中间的人也不会太尴尬，我之前的迈腾就是后排，只能坐两个人，如果第三个人腿就没地方放，因为那个隆起太高了。
21	我个人身高175，微微胖胖的，因为现在主要是我自己开，主驾驶空间很充裕，副驾驶专属座位留给我未来的评价吧，哈哈，应该快了吧，后排空间看着也挺宽敞的，后排有出风口，过年的时候妹妹家人都回来了做后排一起出门玩，后备箱的空间是真的，家里老爸基地的芒果到季节了能拉好多，哈哈每年也就过年的时候家里人热热闹闹的，之所以买凯美瑞还有一个原因也是比较低调，虽然是父母有支持了一些，人生的第一台车本来是想买个入门代步车就好了，后来综合考虑一下，一步到位也好，工作更有动力嘛！
22	空间相当大，平常用车一般是三个人，偶尔四个人。我们出去的时候座椅调整完，后排空间特别大小孩子都躺着了，大人的话也能伸开腿了，后排空间坐着很舒适，不会很压抑。行李箱看着也特别大，能放很多东西。
23	对于我来说，空间是足够大的，我的身高比较高，坐下时是刚刚好的，特别是后备箱放个行李箱，在加个猫砂盆，还有多余的空间。后排座坐人时，猫咪还能来回跑，我尝试了一下，感觉后排座可以坐四个，可能是我比较瘦吧，哈哈哈～～～。
24	空间这方面完全没有问题，上个月我和女朋友的一家出去，到了一趟常州。我们坐在前面，岳父和岳母坐在后排，开了大概四个多小时的车程，一点都没有感觉到疲累，主要是空间上很宽裕，不显得拥挤。
25	凯美瑞的乘坐空间我们一家三口加上爷爷奶奶，平时出游是完全够用的！前排座椅司机头部可以留出四个拳头，后排座椅膝盖前也能留出四个拳头的位置,宽裕度刚刚好，不会很松让人没有安全感，也不会拥挤，可以舒展得开！☆空间设计亮点前台有很多小的储物格，而且放置的地方都很方便最满意的是中控台下面的这个储物格感觉很高级，会慢慢回弹。特意叫媳妇演示了一下给大家展示展示！%buffered00:00/00:06倍速标清家人乘坐评价国庆节期间我们有开车出去自驾游，路程5小时，全程没有停车，家里一家老小都表示座椅很柔软很舒服，而且空调可以自己独立控制，可以照顾到家里不同人的需求，前后温度可以独立调整，前排年轻人温度可以调低，后排坐小孩和老人可以调高，也可以自动恒温空调。
26	后备箱真的大，各种小格子设计的很贴心，后排空间坐我1米8的家人绰绰有余
27	空间大自己坐着舒服，家人也舒服，买车空间也是在参考范围中，不想一家人坐着出去玩的时候挤在一起，腿都没地方放，很压抑的坐着车里不喜欢放得乱七八糟的，趁着收拾车里拍几张照片
28	凯美瑞作为B级车，空间方面提升不少，后排坐三个人也不会像雷凌那样拥挤了，满足我们一家五口的出行需求，虽然没有SUV的空间大，但也表现不俗，尤其是后尾箱的空间，可以装下很多东西，方便一家人出去自驾游。
29	空间来讲还可以，家用足够了，后备箱放两个大箱子没什么问题，平时塞的东西也不少，家人朋友反馈的还不错，唯一美中不足的就是后座中间位置突出一块，不是很舒服，其他还OK，
30	还没遇到空间，还是很不错的，我身高一米七八，但是呢，坐在前排，四个好没有压抑的感觉，副驾驶门老婆做的也相对于比较靠后。但是呢，丝毫不影响后排空间，后排的话，不管是西部空间都是比较方便的，而且呢，头顶顶部空间也还是有富足的，毕竟家里面有老人，一家人出去玩，空间也是很有必要的。
31	驾驶空间很不错，坐进去以后包围性感觉也很好，我175，头部空间大约还有2拳。副驾驶位置乘坐空间还好，只是腿部因为手套箱是偏低的，坐进去之后，感觉腿部稍显局促，总体来说前排还算可以。后排因为有个地台的原因，坐俩人正好，后排的乘坐空间也算可以，腿部到前座椅大约还有3拳，头部的话也是2拳多一点。后备厢没的说，超大！开口也是很宽，取放东西很方便，特别是放大件的东西很顺畅。当然车上还有很多小的储物空间，都是比较实用的，就比如中央扶手中控台下面的双层储物空间，就很好用，不常用的东西放下层，上面可以放个手机、高速卡什么的。
32	买了很多的东西，装了满满的后备箱，而且车内的储物小格子设计的也比较合理，放手机和钥匙之类的小杂物也比较的方便，后排的空间也比较宽敞，驾驶座的头部空间也很大，日常乘坐和放置东西足够用了。
33	整体空间还是很大的，就是副驾驶位置有点局促，还不能调高低，以至于老婆都不怎么喜欢坐副驾驶，宁愿坐到后排去，这一点是我们都很介意的地方。我的主驾驶位置还是很宽裕的，我，1.78米的个，坐在里面头部、腿部空间都很大。后排空间也很优秀，经常顺路带同事一起上下班，后排有时坐3个男的，只要不是太胖，都基本没有问题。后备箱深度也可以，很能装，经常装一大摞审核资料去建设局，它的装载能力还是很优秀的。
34	我的身高在1.76,140斤左右，坐在驾驶位上不会感觉拘束活动不开，腿部空间也是足够的。后排空间在放了儿童座椅的情况下还能坐下2个人，中央扶手和车门板还有其他一些小的储物格，能很好的归纳一些驾驶证、纸巾盒、钥匙和零钱等一些物件，让车里看起来要整洁些。后备箱我就放了一个收纳盒还有球拍等零零碎碎的东西，没太多东西要放所以基本够用的。
35	这款车的空间不得不秀一波，本身凯美瑞给我的感觉就是比较紧凑，但真正坐在驾驶位上，你会发现不仅视野宽，而且座椅很舒适；我本人1.78，坐在车上，没有说很顶头，很别扭，反倒有种商务座驾的感觉，后排空间宽敞，不会觉得拥挤，所有坐过我车的人也都说，空间上很足够非常舒服。后备箱的容积也是“城府”深！很能装东西，如果你是一个很会收纳的人，那么你在放东西的时候，能够节省不少空间，且还有不少富于的地方，给人有一种干净简洁的视觉空间感！
36	空间方面我给满分，作为b级车，它的空间更大更高了，无论前排还是后排空间都比雷凌要大，座椅也更宽了，软软的座椅，坐上去挺舒服的。后排的空间也挺宽敞的，我一米七的身高，坐进去头顶上还有一个拳头左右的空间，不会觉得压抑，家人出行也能有好的体验了。车尾箱的空间挺大挺深的，可以装几个拉杆箱，都不成问题，开它出去旅游也可以满载而归啦。
37	整体空间对于家用来说足够用了，就是后排位置中间突出一块，要是三个人做中间的腿部可能不太舒服，试驾的时候没发现，好在平时做的人不多，而且家里人个头都不算太高，坐着头部空间也刚刚好，中控下面还有能放手机的地方，充起电来也方便，扶手箱很深，可以放好多东西，还不错
38	我和老婆身材都不高，所以空间感觉很大，非常够用，毕竟是一辆b级车，看看儿子二郎腿翘的，那叫一个舒坦。
39	家人个都不是大高个，这个空间足够用了，媳妇开车的话能有做大奔的赶脚。
40	我觉得很够用了。副驾驶还有老板键。后排隆起还是偏高。
41	凯美瑞空间挺不错的，一米八的个子，调整好坐姿，头部空间和腿部空间都还有很大富裕的空间，后排空间也很不错，家人坐进去也不是很拥挤，后备箱空间也很深，家用够用，而且后排座椅还可以放倒，赞
42	中级轿车，空间大是必备的。凯美瑞在使用上的空间做的挺到位的，左右空间非常大，能给人自由活动的空间也大，在前排伸懒腰手弯一下的话刚刚能够到车顶，顶部空间足。后排的话正常坐两个大人带上两个孩子，一点儿不觉着挤。孩子奶奶说这个空间比我们原来的车舒服很多。腿脚的能放开，坐的久了也不会蜷的难受。后备箱能放下整套的钓鱼设备，这点太喜欢了。和朋友约个钓以前箱子啥的都放后排，现在不担心了，完全能放进去。车长宽大了，空间能大出去好多。
43	空间很棒，很大，适合家用，不愧为B级车销量前列，很使用。除去上班外，没事也喜欢领孩子出去游玩，家里两个孩子，平时一家四口出门拉的东西也很多，孩子的玩具啊，小车啊，孩子的衣服吃的很多很多，后备箱很能装，装这些东西完全没有问题，驾驶室储物空间也很多，扶手箱也很大，分布比较合理，如果利用好，也可以收纳很多东西。主副座椅电动调节，前后高低调节比较方便，适合全家人使用，空间也可以根据个人调节，方便又实用。
44	看外观就能看出来，肉眼可见的宽敞。男朋友身高180，一般情况下也都是他在开，坐进去感觉刚刚好，前排和后排都非常的宽敞。而且车内储物空间也很丰富，中央储物箱超级深，能放下绝大多数你不想在表面看见的东西，非常方便，又能让车里显得很整洁。后备箱的空间也很大，没事回个老家放两个拉杆箱完全不是问题，最起码能满足我的出行需求。
45	空间绝对够用，B级车么，车长4885，轴距长达2825，五人个同时乘坐也特别舒适，不会感觉拥挤。储物空间车内随手储物的车间很多，档位前方分上下两层储物盒，副驾驶工作台下方也有储物的位置。放行李后备箱空间特别大，即使全家出去旅游，后备箱可以放很多东西，后备箱开口也很大。如果平时用的话，后排座椅还可以放到，让后排和背箱通开，放一些长形的东西，非常方便。
46	空间简直满分，后排空间大，换了这么多代了，凯美瑞也算是越来越成熟了，在空间上也是无可厚非的让人满意，日常使用过程中5个成人乘坐起来也是非常舒适的，还有小孩的安全座椅后排也是轻松放下的，后备箱大小也是足够用的。空间这一块也是无可挑剔的。
47	身高180不到，基本宽敞。后排底座拱起是硬伤，中间座位舒适性一般。
48	空间满分，后排空间大，直接做3个成人没有问题，我后排放了一个安全座椅，又做了2个老人空间还比较宽裕，但是中间还是有点鼓起中间位置坐人稍微有点影像舒适度，前排主驾驶副驾驶空间也够用，驾驶感觉很棒。后备箱空间不算太大，但是平时装一些东西还是有余的。
49	这个车以后坐的最多的就是我和我媳妇，按照之前步骤基本上早上把媳妇送到单位，然后就会开着它到我的工作室，目前还没有小孩，所以这个车的空间对于我们来说是够够的了，看车的时候也没有很在意空间。
50	前后排座椅乘坐舒适，空间够大，坐五个人没有任何问题，前后三区空调乘坐舒适感提升不少，前排通风加热功能非常好用
51	我的个子不小，178+75的身材，不会觉得压抑，后排空间也是非常够用
52	反正我一直是冲着它空间大这点去，就感觉这个车子非常的吸引我，方方面面都做得很不错。
53	空间的整体水平对于日常使用来说是足够的，平时周末开着它拉上老婆孩子出去玩简直太舒适了，后备箱的尺寸也不算小，能够满足日常的装载需求。
54	车子的空间的话还是比较的宽敞的，不管前排后排。还是后备箱的空间都是比较大
55	毕竟是中型车，空间还是挺大的，后排坐上三个人是一点问题都没有，有的时候拉着我爸妈还有家人，一起出门玩的时候空间一点也不感觉拥挤。
56	我们家都没有大高个！空间没得说！后备厢容积空间很大！家用随便放
57	空间够大，乘坐舒适，同事朋友和部分客人都称赞过，接人待物不丢面。
58	空间大，相对于同级别的车比较下凯美瑞的空间还是挺大的。
59	我们单位在郊区，下班经常给同事带出去，车子空间很大，我180多的个子开车，不会感觉憋屈，后面做3个人，也不会很拥挤。
60	上代凯美瑞，在我买威兰达的时候就看过一次，多少了解一些。不论是前排，还是后期空间都是宽敞，舒适。该有的配置都有，后排小桌子，充电口空调等等。
61	总体家用，算是够用，良好吧，说不上非常大，一家人坐着不会太拥挤，主要家里没有胖子
62	空间还不错，前排腿部空间充足，可以伸直。主要还是看个人对空间的概念。我觉得对我来说完全足够了，后备箱非常nice，比较深各种大箱子都可以放进去。
63	凯美瑞的空间在同级别了表现还不赖，一车五个人乘坐空间还是宽敞的，腿和头都有足够的伸展空间，后备箱空间也很大，整体比小雷空间表现确实要好很多。
64	空间，B级车里面的佼佼者，后排空间很大，躺后座除了长度不够，平躺很OK
65	空间足够宽敞，我们一家三口都是正常身材，没有胖子，所以我们的乘坐空间是满足的！
66	空间方面对于家用来说是绰绰有余的，我身高176，体重166，开车姿势调到最舒服的状态，后排也不会觉得挤。后备箱空间也还可以，能装不少东西。
67	后排座空间完全够用，储物空间也很实用。
68	空间很大，真的我1.75的身高坐进去空间很宽裕，后排也很大，我虽然没有坐过，但是从别人的反馈来看，那肯定不一般
69	个子都不高，平均裸高在1.65米左右，不太胖，空间满足使用。乘坐空间：腿部空间还可以储物空间：后备箱大的很，够用；中控扶手箱比较大，放5瓶水差不多。全家出游时：还没有出游过。放行李：但利用率没有SUV的高，横向对比：比花冠和锋驭的大。
70	乘坐空间乘坐空间够用，后排地板凸起较高储物空间后备箱空间很大
71	个子都不高，平均裸高在1.65米左右，不太胖，空间满足使用。乘坐空间腿部空间还可以储物空间后备箱大的很，够用；中控扶手箱比较大，放5瓶水差不多。全家出游时还没有出游过。放行李放行李多，但利用率没有SUV的高，比如荣放的后备箱可以把东西骆起来，而这个不行。横向对比比花冠和锋驭的大。
72	乘坐空间还是很舒服的，我1.8米的身高，看车的时候特意乘坐了前排和后排的空间，一点都不觉得拥挤。储物空间后备箱空间满足家用，外出旅游放点衣箱子等还是够用的，两侧的挂钩设计也很人性化。让我挺意外的是后排座椅还可以全部放平，这个超喜欢，偶尔装个长一点的物件，用自己的车就可以了。
73	凯美瑞空间还算可以，不是特别大，但是全车乘坐5个成年人绝对没有问题，后备箱储物空间还算满意，比较深，可以装很多东西，主驾驶副驾驶头部空间充足，我180坐里面不拥挤。
74	空间不大不小刚刚好最重要后排可以放倒，这样使我平时装东西多了一个选择，这个设计非常人性化。副驾驶这里有一个老板按键小孩坐到后面我可以轻松地调节副驾驶的座椅间距。
75	作为一款中级车，空间表现还是非常不错的，不论是前排的驾驶员还是后排的乘客，都不会感到压抑，空间很充足，这样才能体现作为中级车的优势嘛；后备箱的空间不算太大但是足够日常所需要的了；
76	空间确实够用，当然对比迈腾，雅阁凯美瑞的空间还是小，但是家庭用确实够了
77	暂时没什么需要放的，储物空间暂时还算宽裕，乘坐的话，家里出了我180，其余乘客大多都在170以下，凯越都够用，这个就更别说了，两个小孩都能打滚了
78	凯美瑞的空间和我之前的车相比就很大了，我老公坐在里面，头部离车顶还有一段距离。后排乘客坐在里面腿部空间也有富余。不过这个档次的车居然没有眼镜盒，这是我比较想不通的地方，这方面在换代的时候可以加入设计下，储物设计只能说是中规中矩。凯美瑞的后背箱比较深，储物能力很强。
79	空间必须要表扬一下，因为我不仅仅是日常上下班代步，平时休息的时候还帮着家里拉点货，都能派上用场，装的东西还挺多的，坐五个人更不在话下，一点都不挤的
80	空间真的是丰田最能把控的一项技能，同级车里它的设计是最好的，在众多B级车型中鹤立鸡群，明明长度都差不多而凯美瑞的车的空间却如此之宽敞。
81	车子空间我觉得很不错，外形大果然还是有用的，后排坐3个大人也不会觉得拥挤。
82	买这个车主要是看中了他的空间吧，同级别来说空间算得上是非常大了，而且舒适度也特别好，最让我感觉良好的就是后面有老板键。
83	空间够用5个人没有压力
84	后排乘坐舒适，1.8米身高毫无压迫感，还能翘二郎腿☆空间设计亮点几个储物柜都很实用，茶杯有两个，很nice
85	一家四口后用了，如果住五个人后排有点挤乘坐空间我身高175，在后排腿部空间充足，而且中间没有凸起的地方
86	看那个空间还是挺宽敞的，在前后排都会感觉到特别紧，后备箱的空间也是挺深的，又加上还没有成家，所以我自己来用空间肯定是绰绰有余的。
87	里面的驾驶空间非常宽敞，我185坐在驾驶位上，一点也不觉得压迫和拥挤，把座椅调整好以后，后排空间坐的也很舒服。
88	车身尺寸看起来就是一股中型车的参数值，但是坐进车里，就感觉很宽，至少在后排乘坐的宽度上来说轻松无比，车的后备箱也足够的宽大
89	车身尺寸看起来就是一股中型车的参数值，但是坐进车里，就感觉很宽，至少在后排乘坐的宽度上毫无压力，车的后备箱也足够的宽。
90	凯美瑞的内部空间还是非常不错，而且后排的很宽敞，坐起来就会觉得很松快。
91	后备箱空间大能装能拉，后排座一般都能翘二郎腿，头部空间也还行。
92	空间上我觉得还不错，反正一家三口日常使用方面的表现还可以。
93	本人183，把座椅调到最低，头部空间绰绰有余，后排空间也是很给力的，大长腿也能妥妥滴安排
94	车辆的空间也是非常重要的一点，毕竟一辆B级轿车，在空间方面是否足够充足，后排乘坐空间是否宽敞，也是买车比较看重的一点，当然也是看个人需求，凯美瑞沪金有宽敞的内部空间，而且还具有高级皮革的座椅，提升了整辆车色档次。将将好够用，挺佩服丰田这个设计，在小点就不选择这个车了，再大点也必要。后备箱空间也比较大，出门旅游放东西足够了。
95	空间很满意，设计风格独特驾驶员这边很宽敞，比之前的卡罗拉空间大太多了！尤其是后排空间很宽敞！前排空间调整好坐姿后的后排空间乘坐空间乘坐空间大，前排座椅调好位置后，后排还有很大的空间！%buffered00:00/00:13倍速标清视频中是调整好前排座椅后的状态！后备厢容积后备箱宽敞空间很大，深度也够，可以容纳大的行李箱，我的渔具也能完美容纳，周末可以放心出去钓鱼！后备箱宽敞，请无视杂物！家人乘坐评价无论是头部空间还是前后排腿部空间都够用，家人和同事都反应乘坐舒适、空间大！相比之前的老款卡罗拉，空间提升了几个档次。空间设计亮点中控Y型设计风格是亮点，尤其2019款还增加了全触摸屏，Ｂ格更高了，另外扶手箱的设计也是非常独特，造型美观！车内储物能力新款凯美瑞的4个门板储物格稍微小了一点点，只能放一瓶水，比之前的老款卡罗拉小了点；但扶手箱的空间就无敌了，真的是又大又深，可以藏不少私房钱。
96	空间非常大，完全够用，后面4个人绰绰有余的，相比A级的车，绝对是质的飞跃啊。前排驾驶位和后排空间都达到标准B级车水平，座椅长短合适。
97	很多人说凯美瑞空间不如雅阁。这点我同意，雅阁后排确实宽敞。但说凯美瑞不够用倒也不至于，按照我的驾驶坐姿调整好座椅后后排还有2拳多的空间。不过驾驶位要调低，我181的身高前排头部空间还是有点小
98	乘坐空间绝对宽敞，主驾调到合适位置，后排差不多可以跷二郎腿（可能我腿短哈哈170），后排中间虽然有点隆起，但是不影响，奈何座位空间大啊，直接张开腿坐！储物空间也合理，门板可以放，中央扶手也有两个杯架，也有放手机的地方，相对满意！
99	虽然轴距也不是很大，但是前排驾驶位和后排空间都达到了标准B级车的水平，座椅长短合适，坐姿适合开长途，不会出现后背疼。
100	空间是我最满意的了，驾驶位调到合适位置，头顶还有一拳多，后排坐3个人没什么压力（当然我们南方人的身高块头没那么大），还有一些储物空间、杯架什么的都挺好的！
101	前后排的空间都很可观，2825的轴距保证了里面空间，我们家人平均个头在174左右，空间还是相当够用的。后备箱容积也很大，春节拜年装的年货相当不少。内部储物空间也很多，小卡片什么的都有专属位置。扶手箱也很大，能放下好多瓶矿泉水😍
102	凯美瑞空间这一方面，我很满意的，给五颗星星，本人176，体重方面比较肥肥的，有时候我老婆开车，我就坐后面，都觉得不是很拥挤，还可以翘个二郎腿玩手机，放松放松一下，所以我个人觉得空间这一方面还是够的，车尾箱空间也足够大，平时节假日回老家都可以载点东西回去给父母。
103	凯美瑞的空间宽敞那是没话说，前排空间驾驶感非常舒服，后排的空间更宽敞，三个大人坐着也不会觉得挤，后备箱的容量也是杠杠的。看上去就很深，周末带家人出去来个自驾游带上吃的和用的，或者是要放个大件，这个后备箱空间绝对足够放了。我选的这款2.5Q是带全景天窗的，视觉空间感觉更透亮。晚上还能看星星。就是坐在车里的人都会感觉像是坐在一辆豪华车里，非常上档次。
104	空间够用，比上不足比下有余。后排空间我爸说没迈腾的大，我一般都是开车，后排也很少坐人，就无所谓了。不过迈腾的后排空间确实是大，我176，能跷二郎腿。
105	空间很大，前排驾驶空间就不用讲了，我178的个头开开绰绰有余，后排空间也很出色，我试了下，腿部还有头部都够宽敞，后面坐上三个大人也完全没压力，车上的储物格也很多，放点小东西也很方便，后备箱容积也很大，过年回老家带个婴儿东西自然也多，婴儿车加上一家人行李装上毫无压力，回程时带了好多家里的菜，土特产之类的，总的来说这车用于家用还是非常不错的。
106	车身高，内部空间很充足，前排空间不错，主驾活动空间对我来说很大，副驾坐着腿也能伸直，后排也是足够用的，后备箱空间真的很大很充足，能够放好几个储物箱，其实空间对我来说并不是很在意的，凯美瑞这款本身车身很长很高，空间不是小的，可以放心的。
107	内部空间上整体还是很大的。比如后排，空间宽敞非常适合三个人坐，一米八的身高膝部空间还有一个大手掌的距离。有没有一种低调奢华的感觉！！
108	总的来说还可以，够我们一家子日常使用了，一般都是我上班开开用，出去旅游也不在话下。然后后排放倒有足够的空间去用了。因为凯美瑞的轴距比较长，内部空间也随之变大。副驾手套箱的空间有点小，不过平常用的也不多，不是很影响。扶手箱的空间倒是挺大的，平时可能也不会经常伸手去手套箱里拿东西，这点设计还是很人性化的
109	乘坐空间本人181公分，83公斤。主驾以及后排左右两侧没问题。副驾由于没有高低调节，容易碰头，顶头。后排中间不能坐直，会顶头。后备厢容积后备箱开口大，空间足。够我们一家日常出行。车内储物能力四门储物格对我来说够用，因为我不喜欢车上到处放东西。中控的储物空间我都没怎么用。家人乘坐评价除了个子高的以外，其余都是好评。
110	空间这一块对我来说我还是很看中的，因为不管是过年过节，还是跟朋友家人一起出去玩，内部的乘坐空间直接关系到了一家人的舒适性了。凯美瑞的后排乘坐空间还是比较大的，好歹也是B级车，驾驶空间也很足够。后备箱平时可以放些小东西，一般出门需要拉货的话我都不开他出去，都是开的卡罗拉，舍不得。
111	空间是我最得意于的地方，不管是储物空间还是内部乘坐空间，对我来说足够用了。毕竟车辆级别在那摆着呢，所以前后排都很舒服不压抑。
112	空间还是挺不错，前排没问题，后排除了中间有凸起，不太方便。还算不错。
113	空间表现不错，毕竟是一辆中型车，对于大部分家庭的日常使用来说都是绰绰有余的，2825mm的轴距，后排如果不坐满人的话，是可以轻轻松松翘二郎腿的，坐满人的情况也不会感到压力，前排的储物空间设计的也比较合理，后背厢的空间表现也算是不错的，偶尔需要跑一下长途，塞两三个行李箱问题不大。
114	本人算是比较圆润的类型（我绝对不承认我胖），主驾驶席乘坐感觉也是很舒适的，而且尾箱空间足够大，摆放两个小孩出门的用品和玩具之类的系，平常出差携带的行李也都绰绰有余。驾驶座还是比较便利的，座椅很厚，可能是我比较圆润吧，侧向包裹一般后排设计还是比较合理的，唯一吐槽的点是中间突起比其他中级车稍微高。后备箱还是比较好用的，我试过塞3个28寸行李箱还是能轻松应付。
115	这一代凯美瑞的车内空间在同级别属于中等的水平，不是最大的，但是也算够用了。乘坐空间我身高175，驾驶位坐着没有问题，挺宽裕的，后排坐着也OK。后备厢容积后备箱开口不小，容积也挺大的，能放四个人出去一趟的行旅。车内储物能力每一个门板的储物格都能轻松放下一个水杯，扶手箱也不小。家人乘坐评价家人一致认为这车后排坐着很舒服，头部空间和腿部空间都不是问题。
116	因为现在刚结婚，父母也不跟我们住一起，偶尔会过来然后一起出去玩玩。前后排空间还是舒适的，还剩余很大空间，除此之外后排基本都是空着的，而且第二排座椅还可以放平，让后备箱跟第二排连接起来，长一点的东西也能放，不用的时候收起来，也比较方便。皮座椅看着就给人很舒服的感觉。而且中间那块也不是很高。
117	空间的布局还不错的，设计的高度还有宽度都能符合大众的身高，特别是前排的位置，腿都可以伸的很直，后排虽然没有前排那么敞亮，但是坐后排翘个二郎腿还是没问题的，车内有设计一些隐藏式的储物格子，有很好的收纳功能，加上后备箱的空间也很好，像24寸的那样的行李箱都能放个三两个的，出行不怕装不下。
118	空间的话还是比较大的凯美瑞的车长，应该在4900左右，我的身高为1.75米坐在后排的话，还有意拳的距离可以顶到前排座椅家人的话普遍身高都可以在1.75米以下，所以说空间对我来讲，也是非常够用了不会显得车子过长，但同时也要兼顾空间操控性会更好。
119	2.8米的轴距带来了充足的乘坐空间，不管是前排还是后排头部空间还是腿部空间都富足有余。乘坐空间前排及后排头部空间和腿部空间都比较富余。后备厢容积后备箱空间超大620升，而且后排可4/6放倒，延伸后备箱空间使用性。
120	作为一款非常成熟的合资车，凯美瑞的空间不会出现让大家诟病的地方。前排后排以及后备箱的空间都很大，我这高挑的身高坐上了车之后，头顶和腿都没有什么约束力，满载的时候根本没有那种拥挤的感觉，脚也能够伸开，简直是太舒服了，这凯美瑞载人载物都不错。
121	空间真的没的说，主驾驶的空间坐在那里真的舒服，还有地方扶手，就像去按摩坐的那个椅子一样舒服，后排坐着也很舒服，感觉都可以坐4个人的空间，三个人就宽敞，再来就是后备箱了，那是真的大，我朋友说我的后备箱第一次放东西的时候真的有惊到她，一点都没夸张。
